slot,champion,segment,use_case,contact_channel,tester_added,first_contact_date,follow_up_date,group_created,invite_sent,installs_reported,joined_count,expenses_count,settlements_count,activated_group,top_blocker,feedback,next_action
1,,Travel crews,Salalah/weekend/trip expenses,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
2,,Travel crews,Salalah/weekend/trip expenses,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
3,,Travel crews,Camping/chalet/road trip,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
4,,Travel crews,Camping/chalet/road trip,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
5,,Travel crews,Group flight/hotel booking,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
6,,Travel crews,Group flight/hotel booking,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
7,,Travel crews,Fuel/food/stay split,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
8,,Travel crews,Fuel/food/stay split,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
9,,Travel crews,Weekend outing expenses,Instagram DM,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
10,,Travel crews,Weekend outing expenses,Instagram DM,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
11,,Travel crews,Trip organizer or group planner,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
12,,Travel crews,Trip organizer or group planner,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
13,,Dinner / majlis groups,Restaurant bill split,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
14,,Dinner / majlis groups,Restaurant bill split,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
15,,Dinner / majlis groups,Coffee/karak/gathering,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
16,,Dinner / majlis groups,Coffee/karak/gathering,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
17,,Dinner / majlis groups,Weekly dinner crew,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
18,,Dinner / majlis groups,Weekly dinner crew,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
19,,Dinner / majlis groups,Majlis/gathering supplies,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
20,,Dinner / majlis groups,Majlis/gathering supplies,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
21,,Dinner / majlis groups,Family/friends meal split,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
22,,Dinner / majlis groups,Family/friends meal split,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
23,,Roommates / shared housing,Groceries and utilities,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
24,,Roommates / shared housing,Groceries and utilities,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
25,,Roommates / shared housing,Rent extras and shared purchases,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
26,,Roommates / shared housing,Rent extras and shared purchases,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
27,,Roommates / shared housing,Student flat expenses,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
28,,Roommates / shared housing,Student flat expenses,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
29,,Roommates / shared housing,Shared household supplies,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
30,,Roommates / shared housing,Shared household supplies,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
31,,Coworkers / student groups,Office lunch group,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
32,,Coworkers / student groups,Office lunch group,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
33,,Coworkers / student groups,University friends or club,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
34,,Coworkers / student groups,University friends or club,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
35,,Coworkers / student groups,Project/team shared costs,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
36,,Coworkers / student groups,Project/team shared costs,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
37,,Family / community groups,Family outing or groceries,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
38,,Family / community groups,Family outing or groceries,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
39,,Family / community groups,Community/chalet/farm booking,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
40,,Family / community groups,Community/chalet/farm booking,WhatsApp,no,,,no,no,0,0,0,0,no,,,fill champion name and send first ask
